page_group_name,post_url,comments,type,shares,love,wow,haha,sad,angry,likes,post_message,lex_found
တောင်​ကြီးသားများစု​ဝေးရာ(new group),https://www.facebook.com/groups/176351266292859/permalink/708220019772645,1257,Photo,65,76,43,14,0,1,0,ပျော် ပြီ လေ တောင် ကြီး က ပေါက် တယ် ဆို တော့ 👍 👍,
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),https://www.facebook.com/groups/686414348155900/permalink/2154823814648272,2202,Link,162,325,257,12,0,1,0,,
MayMyo Forums(နိင်ငံ​ရေး),https://www.facebook.com/groups/762755123741865/permalink/3992549024095776,3403,Status,193,1796,14,281,3,581,1,မေမြို့ မှ ပြည် သူများ ရှင့် ယနေ့ အနီး စခန်း မှ ဆေးရုံ တက်ရောက် သော လူနာ ၏ Swab အဖြေ ပိုး တွေ့ (Positive) ဖြစ် ပါသည် ။ လူနာ သည် အသက် ၂၃ နှစ် ၊ ကျား ၊ ရ က က ၁၇ ၊ အနီး စခန်း နွယ် နင်း ရပ် မှ ဖြစ်ပြီး ရန် ကုန် သို့ ကုန်စိမ်း ကား ဖြင့် ပန်း ပို့ ၊ ရန် ကုန် တွင် နှစ် ရက် နေထိုင် ၊ ရန် ကုန် မှ ပြင် ဦး လွင် သို့ ၂၁ ၊ ၉ ၊ ၂၀၂၀ တွင် ပြန်လာ ပြီး အနီး စခန်း သို့ ၂၂ ၊ ၉ ၊ ၂၀၂၀ နေ့ လည် တွင် ပြန်လည် ရောက်ရှိ သည် ။ ယနေ့ နံနက် ဆေးရုံ ကြီး သို့ အနံ့ မ ရ နှစ် ရက် ဖြင့် တက်ရောက် ။ ယနေ့ နံနက် swab ယူ စစ်ဆေး ခဲ့ ခြင်း ဖြစ် ပါသည် ။ လူနာ နှင့် ထိ စပ် ခဲ့ သော Contact များ အား ပြည် သူ့ ကျန်းမာရေး ဌာန မှ လိုက်လံ ရှာဖွေ ပြီး ယနေ့ ည ဇီး ပင် ကြီး QuarintineCentre သို့ ပို့ဆောင် မည် ဖြစ် ပါသည် ။ လူနာ အခြေအနေ ကောင်းမွန် ပါသည် ။ သက်ဆိုင်ရာ နယ်မြေ ကျန်းမာရေး ဝန်ထမ်း များ ၊ ရပ် ကျေး များ နှင့် ချိတ်ဆက် ၍ လူနာ နှင့် ဤ ရက် များ အတွင်း တွေ့ဆုံ ထိ စပ် ခဲ့ သူများ အားလုံး ကျန်းမာရေး ဌာန သို့ မပျက်မကွက် သတင်းပို့ ကြ ရန်ဖြစ် ပါသည် ။ ဆေးရုံ ကြီး သို့ မ လိုလား အပ် သော လူနာ သတင်းမေး ကိစ္စများ နှင့် မ လာရောက် ကြ ရန် မေတ္တာရပ်ခံ အပ် ပါသည် ။ လေးစား စွာ ဖြင့် ဆေးရုံအုပ် ကြီး,
ပုသိမ် သတင်းနှင့်စီးပွားရေးကြေငြာများ,https://www.facebook.com/groups/1872545619673274/permalink/2676979892563172,751,Photo,62,113,40,0,0,0,0,ပု သိမ် မြို့ ငှက်ပျော တန်း လမ်း ဂျိုး သိန်း ကုန်စုံဆိုင် မိသားစု မှ ဆရာကြီး ဒေါက်တာ သန်း မင်း ထွဋ် ထံသို့ အလှူ ငွေ ကျပ် သိန်း ( ၅၀ ) လှူဒါန်း ******************************************* ပု သိမ် မြို့ အောက်တိုဘာ ၃ ပု သိမ် သား ဦး ဇော် MJA ပု သိမ် မြို့ ဆေးရုံ ကြီး တွင် ယနေ့ အထိ တက်ရောက် ခဲ့ ကြ သော COVID လူနာ ပေါင်း မှာ ( ၁၂၆ ) ဦး အထိ ရှိ နေ ခဲ့ ပြီးဆေး ရုံ ဆင်း ( ၃၇ ) ဦး ရှိ ကာ ပု သိမ် ဆေးရုံ တွင် လက်ကျန် လူနာ ( ၈၉ ) ဦး ရှိ ပြီးဆေး ရုံ ကြီး တွင် ( ၂၇ ) ဦး နှင့် တိုင်း ရင်း ဆေးရုံ တွင် ( ၆၂ ) ဦး ရှိ နေ ကြောင်း သိရသည် ။ ယခု အခါ Plan-C ဖြစ် သော တိုင်း ရင်း ဆေးရုံ ပြည့် တော့ မည် ဖြစ် သဖြင့် Plan-D ဖြစ် သော ကိုး သိန်း မူလတန်း ကျောင်း အား ယနေ့ စတင် ပြင်ဆင် လျှက် ရှိ ပြီး လူနာ ဦး ရေနှစ် ရာ ခန့် ထား ရှိ နိုင် မည် ဖြစ်ပြီး ကုန်ကျ ငွေ ကျပ် သိန်း သုံး ရာ နှင့် လေး ရာ ကြား ကုန်ကျ မည် ဖြစ်ကြောင်း သိရသည် ။ ယင်း Plan-D ကိုး သိန်း မူလတန်း ကျောင်း ယာယီ COVID ဆေးရုံ အတွက် ပု သိမ် မြို့ ငှက်ပျော တန်း လမ်း ဂျိုး သိန်း ကုန်စုံဆိုင် ဦး သန်း လွင် + ဒေါ်ဒေါ် ခင် စန်း မိသားစု မှ အလှူ ငွေ ကျပ် သိန်း ( ၅၀ ) ကို ပု သိမ် ဆေးရုံအုပ် ကြီး ဆရာကြီး ဒေါက်တာ သန်း မင်း ထွဋ် ထံသို့ ဒုတိယ အကြိမ် လာရောက် လှူဒါန်း ခဲ့ ကြောင်း သိရသည် ၊ ယင်း ဂျိုး သိန်း ကုန်စုံဆိုင် မိသားစု မှ COVID ပထမ လှိူင်း အစ တွင် လည်း ငွေ ကျပ် ( ၁၀၈ ) သိန်း လာရောက် လှူဒါန်း ခဲ့ ကြောင်း သိရသည် ။,
7Day News သတင်းစုံ,https://www.facebook.com/groups/306688006187246/permalink/1581931525329548,957,Link,96,46,16,1,0,0,0,ကို ဗစ် ကြီး ပြီး ရင် တော့ ဦး ဇော် ဇော် ကို ဘွဲ့ အကြီး ကြီး ပေး စေ ချင် တယ် ဗျာ သဘောတူ ကြ လား 👍 😊,
💖အမေ့သားသမီးများသီးသန့်💖,https://www.facebook.com/groups/1250425025055426/permalink/3430170530414187,298,Photo,361,145,1,13,209,1,53,ပါ စပ် နဲ ဖျင် မှား တပ် ထား သော ရှား ပါ မျိုး စိမ့် များ ချိန်း ခြောက် နေ ပုံ 🤧 ဆို တော စစ်တပ် ကို သုံး ပီး အာဏာသိမ်း မ လိုလား # စမ်း ကြည့် လိုက်ပါ အချို လား အခါး လား သိရ တာ ပေါ,
သတင်းထူး သတင်းဦး သတင်းစုံ,https://www.facebook.com/groups/399365173799686/permalink/1095394597530070,1027,Photo,228,124,56,3,70,0,0,,
တံတားဦး လူထုအသံလှိုင်း ( ၂ ),https://www.facebook.com/groups/1476009722706099/permalink/2459706284336433,656,Photo,152,531,13,3,1,1,0,အစိမ်း တွေ အနီ တွေ မ စွဲ ကြ ပါ နဲ့,
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1195650744192963,2835,Photo,361,536,303,16,2,14,1,ရေငုပ် မ နိုင် တဲ့ ကြောင် စိမ်း .??????? ကို ရီး ယား မြန်မာ သံရုံး မဲပေး ပွဲ စီစဉ် ထား ခြင်း အပေါ် မှာ မဲ လာ ပေး သူများ စိတ်ပျက် အောင် လုပ် နေ တာ ကစစ် ဖိနပ် သံ က ဒေါ်က် ဖိနပ် သံ ကို မနာလို တဲ့ စိတ်ဓာတ် ပြ နေ တာ ပါ တဲ့ ၊ အဝေး မှ လာ ပြီး ည အိပ် ကာ အစားအသောက် ပျက် ခံ အေး လွန်း တဲ့ ရာသီဥတု မှာ သွေး ထောင့် အောင် ရပ်နေ ပြီး မဲပေး တဲ့ မြန်မာ ပြည် သား တွေ ကို လေးစား မိ ပါ တယ် ၊ လူ အုပ် များ တာကို ရဲ ခေါ် ပြီး ပြော ခိုင်း တာ ဘာ သဘော လဲ ၊ အကြောက်တရား ကင်း တဲ့ ရွှေ မြန်မာ တွေ ကို သွေးတိုး မ စမ်း နဲ့ ၊ေဟ့ ဂျောင့် ... ရဲရဲနီ တဲ့ သွေး ကွ .. အောက်တန်းစား ဖွတ်ကျား မ လုပ် နဲ့ ၊ ပြင် လိုက် အုံး .,အောက်တန်းစား
တာမွေမြို့နယ် ပြည်သူ့ကွန်ရက်,https://www.facebook.com/groups/393405437884628/permalink/756191484939353,2407,Status,93,157,53,0,2,0,0,တာ မွေ သတင်းကောင်း ------------------------- တာ မွေ မြို့နယ် NLD လွှတ်တော် ကိုယ်စားလှယ် သုံး ဦးလုံး ရဲ့ ဓါတ် ခွဲ အဖြေ Negative ပါ ။,
